label,t,r,points,kTeams,scoringDiscAbs,minScoringDiscAbs,discSource,isSolvable,baselineUnlocked,baselineDiscAbs
24T176,176,8,0.0,28,4797589146969098300932125636039037057820000256,799810180674147094578293157979488256,exact_nfdisc,True,,
24T178,178,8,0.0,44,11163838182253791759302656000000000000,2725546431214304628736000000000000,exact_nfdisc,True,,
24T185,185,12,1.3e-05,17,20971634820437285107551126337442686408065024,48038598976740959868108732801143013376,exact_nfdisc,True,True,64322005579616647674175439730374348802060969
24T187,187,8,0.000104,14,79661214150552388156826123785453899389796523966464,2208214927435242017814827419989839639729041,exact_nfdisc,True,,
24T187,187,24,0.0,24,3124258518258387088196457648357376000000000000,3124258518258387088196457648357376000000000000,exact_nfdisc,True,True,79661214150552388156826123785453899389796523966464
24T188,188,8,0.000683,11,3981516104842019237178963600782854717440000000000000000,163133221527215521609486549629461353209,exact_nfdisc,True,,
24T188,188,24,0.000212,13,25725788243073499605332276248731112333759404495077376,2736921294337944684595023492228193086439686144,exact_nfdisc,True,True,6653384267068286011246274684684895130935195478203039744
24T189,189,8,9.9e-05,14,85337708008445199699480529852170240000000000000000,24719373620688858408708492546180170015625,exact_nfdisc,True,,
24T192,192,8,2e-06,20,53999307107223697606999523749019582464,823964036670283471786491756424249,exact_nfdisc,True,,
24T192,192,24,7e-06,18,13823822619449266587391878079749013110784,1170030423797466362213587603552833079801,exact_nfdisc,True,True,51125705692771902471418442200295504434226528256
24T196,196,0,0.0,30,1695897903657690953039604199894728231092224,338374043559384611252900724736,exact_nfdisc,True,,
24T196,196,8,0.0,25,115864688783562474118543915747739414774677504,21297856270212792285737059725869056,exact_nfdisc,True,,
24T197,197,8,1.3e-05,17,158618758944697027068286620658655258826533502976,1429241545838574059871741447542224715776,exact_nfdisc,True,,
24T198,198,8,0.0,24,566817438991059305349418493568330797940736,348935924276995620085874376841363456,exact_nfdisc,True,,
24T200,200,8,0.0,26,566817438991059305349418493568330797940736,348935924276995620085874376841363456,exact_nfdisc,True,,
24T201,201,0,2e-06,20,222827207712370104632723127976575561507721130868736,393461843010813327191972139037176814916665344,exact_nfdisc,False,True,1153765654270484670724000000000000000000000000000000
24T204,204,12,0.0,27,2645062016325867675995670052864000000000000,6359672958214595236944504123125390625,exact_nfdisc,True,,
24T207,207,12,0.000645,11,310006313813743166220975913909911552000000000000000000000,21045013753715584625133991241455078125,exact_nfdisc,True,,
24T208,208,0,0.0,62,614787626176508399616000000000000,207728067204059288762843136,exact_nfdisc,True,True,4331068230585369837979786096410624000000
24T208,208,12,0.0,35,25079976894425334663681000000000000,25079976894425334663681000000000000,exact_nfdisc,True,,
24T208,208,24,0.0,29,6574565463012234930075992064000000000000,122660936795894886449393137289722331136,exact_nfdisc,True,True,139299077313069352627300862468070171723197054976
24T209,209,0,0.0,35,42247883974617233597120303333376,122022991237877482034263228416,exact_nfdisc,True,True,351005248710253315188174529102543292668575744000000000000
24T209,209,12,6e-06,18,76001839281330477865510109184000000000000,27541765678694400000000000000000000,exact_nfdisc,True,,
24T209,209,24,7e-06,18,311303533696329637337129407217664000000000000,182357808578618982400000000000000000000,exact_nfdisc,True,True,351005248710253315188174529102543292668575744000000000000
24T210,210,0,0.0,26,4062576698931217673150065607675904000000000000,446665413093400408190091264,exact_nfdisc,True,True,37731458036334133263558460791878230723764641077395456000000
24T210,210,12,5e-06,18,18619230840740582585794560000000000000000000000,55107371105915041985627197265625,exact_nfdisc,True,,
24T210,210,24,0.0,23,73987476732252901817662072482871347770403323904,27351271491021221688787979338134765625,exact_nfdisc,True,True,37731458036334133263558460791878230723764641077395456000000
